"","Season_End_Year","Squad","Comp","Team_or_Opponent","Num_Players","Mins_Per_90","Tkl_Tackles","TklW_Tackles","Def 3rd_Tackles","Mid 3rd_Tackles","Att 3rd_Tackles","Tkl_Challenges","Att_Challenges","Tkl_percent_Challenges","Lost_Challenges","Blocks_Blocks","Sh_Blocks","Pass_Blocks","Int","Tkl+Int","Clr","Err","Url"
"98",2021,"Levante","La Liga","opponent",29,38,575,334,287,204,84,249,615,40.5,366,374,76,298,433,1008,638,8,"https://fbref.com/en/squads/9800b6a1/2020-2021/Levante-Stats"
"99",2021,"Leverkusen","Bundesliga","team",30,34,500,282,209,238,53,213,498,42.8,285,368,87,281,322,822,481,10,"https://fbref.com/en/squads/c7a9f859/2020-2021/Bayer-Leverkusen-Stats"
"100",2021,"Leverkusen","Bundesliga","opponent",30,34,619,398,273,270,76,284,710,40,426,400,106,294,428,1047,707,4,"https://fbref.com/en/squads/c7a9f859/2020-2021/Bayer-Leverkusen-Stats"
"101",2021,"Lille","Ligue 1","team",21,38,653,370,273,288,92,305,707,43.1,402,339,90,249,424,1077,590,6,"https://fbref.com/en/squads/cb188c0c/2020-2021/Lille-Stats"
"102",2021,"Lille","Ligue 1","opponent",21,38,677,409,368,240,69,297,705,42.1,408,382,112,270,520,1197,659,19,"https://fbref.com/en/squads/cb188c0c/2020-2021/Lille-Stats"
"103",2021,"Liverpool","Premier League","team",28,38,526,303,195,231,100,220,543,40.5,323,338,58,280,347,873,563,20,"https://fbref.com/en/squads/822bd0ba/2020-2021/Liverpool-Stats"
"104",2021,"Liverpool","Premier League","opponent",28,38,675,343,377,238,60,288,695,41.4,407,469,172,297,456,1131,1057,27,"https://fbref.com/en/squads/822bd0ba/2020-2021/Liverpool-Stats"
"105",2021,"Lorient","Ligue 1","team",27,38,722,424,353,303,66,333,812,41,479,422,114,308,527,1249,670,11,"https://fbref.com/en/squads/d2c87802/2020-2021/Lorient-Stats"
"106",2021,"Lorient","Ligue 1","opponent",27,38,623,370,289,274,60,274,635,43.1,361,340,96,244,450,1073,566,13,"https://fbref.com/en/squads/d2c87802/2020-2021/Lorient-Stats"
"107",2021,"Lyon","Ligue 1","team",29,38,583,344,250,249,84,264,639,41.3,375,366,115,251,408,991,595,14,"https://fbref.com/en/squads/d53c0b06/2020-2021/Lyon-Stats"
"108",2021,"Lyon","Ligue 1","opponent",29,38,659,382,363,234,62,333,812,41,479,422,139,283,518,1177,721,21,"https://fbref.com/en/squads/d53c0b06/2020-2021/Lyon-Stats"
"109",2021,"Mainz 05","Bundesliga","team",31,34,593,364,266,239,88,258,574,44.9,316,419,109,310,500,1093,662,6,"https://fbref.com/en/squads/a224b06a/2020-2021/Mainz-05-Stats"
"110",2021,"Mainz 05","Bundesliga","opponent",31,34,499,308,228,219,52,220,488,45.1,268,386,89,297,448,947,673,8,"https://fbref.com/en/squads/a224b06a/2020-2021/Mainz-05-Stats"
"111",2021,"Manchester City","Premier League","team",24,38,498,271,198,212,88,234,576,40.6,342,310,82,228,319,817,453,11,"https://fbref.com/en/squads/b8fd03ef/2020-2021/Manchester-City-Stats"
"112",2021,"Manchester City","Premier League","opponent",24,38,647,358,380,219,48,287,772,37.2,485,451,168,283,405,1052,713,28,"https://fbref.com/en/squads/b8fd03ef/2020-2021/Manchester-City-Stats"
"113",2021,"Manchester Utd","Premier League","team",29,38,551,311,252,239,60,231,572,40.4,341,418,116,302,386,937,634,20,"https://fbref.com/en/squads/19538871/2020-2021/Manchester-United-Stats"
"114",2021,"Manchester Utd","Premier League","opponent",29,38,656,369,360,215,81,296,711,41.6,415,511,149,362,478,1134,724,11,"https://fbref.com/en/squads/19538871/2020-2021/Manchester-United-Stats"
"115",2021,"Marseille","Ligue 1","team",31,38,655,391,266,302,87,313,667,46.9,354,365,105,260,442,1097,710,12,"https://fbref.com/en/squads/5725cc7b/2020-2021/Marseille-Stats"
"116",2021,"Marseille","Ligue 1","opponent",31,38,573,336,242,264,67,261,582,44.8,321,380,82,298,442,1015,664,8,"https://fbref.com/en/squads/5725cc7b/2020-2021/Marseille-Stats"
"117",2021,"Metz","Ligue 1","team",27,38,685,417,368,252,65,305,675,45.2,370,394,116,278,572,1257,745,9,"https://fbref.com/en/squads/f83960ae/2020-2021/Metz-Stats"
"118",2021,"Metz","Ligue 1","opponent",27,38,678,384,303,306,69,297,678,43.8,381,355,114,241,393,1071,578,2,"https://fbref.com/en/squads/f83960ae/2020-2021/Metz-Stats"
"119",2021,"Milan","Serie A","team",29,38,627,357,299,257,71,276,605,45.6,329,435,133,302,382,1009,732,13,"https://fbref.com/en/squads/dc56fe14/2020-2021/Milan-Stats"
"120",2021,"Milan","Serie A","opponent",29,38,553,297,285,193,75,254,669,38,415,422,147,275,417,970,711,10,"https://fbref.com/en/squads/dc56fe14/2020-2021/Milan-Stats"
"121",2021,"Monaco","Ligue 1","team",30,38,733,432,296,346,91,332,696,47.7,364,356,66,290,436,1169,513,15,"https://fbref.com/en/squads/fd6114db/2020-2021/Monaco-Stats"
"122",2021,"Monaco","Ligue 1","opponent",30,38,566,334,279,224,63,262,570,46,308,374,119,255,503,1069,732,17,"https://fbref.com/en/squads/fd6114db/2020-2021/Monaco-Stats"
"123",2021,"Montpellier","Ligue 1","team",25,38,529,334,301,183,45,284,707,40.2,423,372,150,222,420,949,705,14,"https://fbref.com/en/squads/281b0e73/2020-2021/Montpellier-Stats"
"124",2021,"Montpellier","Ligue 1","opponent",25,38,588,326,278,240,70,288,587,49.1,299,345,106,239,414,1002,750,6,"https://fbref.com/en/squads/281b0e73/2020-2021/Montpellier-Stats"
"125",2021,"Nantes","Ligue 1","team",25,38,696,384,357,271,68,368,777,47.4,409,392,107,285,465,1161,708,6,"https://fbref.com/en/squads/d7a486cd/2020-2021/Nantes-Stats"
"126",2021,"Nantes","Ligue 1","opponent",25,38,667,409,328,268,71,300,678,44.2,378,355,104,251,460,1127,692,11,"https://fbref.com/en/squads/d7a486cd/2020-2021/Nantes-Stats"
"127",2021,"Napoli","Serie A","team",25,38,574,345,280,213,81,257,635,40.5,378,381,98,283,369,943,532,17,"https://fbref.com/en/squads/d48ad4ff/2020-2021/Napoli-Stats"
"128",2021,"Napoli","Serie A","opponent",25,38,497,278,259,173,65,242,628,38.5,386,466,170,296,403,900,644,17,"https://fbref.com/en/squads/d48ad4ff/2020-2021/Napoli-Stats"
"129",2021,"Newcastle Utd","Premier League","team",27,38,512,268,257,213,42,207,547,37.8,340,423,160,263,362,874,908,10,"https://fbref.com/en/squads/b2b47a98/2020-2021/Newcastle-United-Stats"
"130",2021,"Newcastle Utd","Premier League","opponent",27,38,534,276,232,223,79,237,587,40.4,350,387,115,272,372,906,632,9,"https://fbref.com/en/squads/b2b47a98/2020-2021/Newcastle-United-Stats"
"131",2021,"Nice","Ligue 1","team",31,38,599,364,281,243,75,256,628,40.8,372,355,123,232,435,1034,644,15,"https://fbref.com/en/squads/132ebc33/2020-2021/Nice-Stats"
"132",2021,"Nice","Ligue 1","opponent",31,38,667,403,298,274,95,301,741,40.6,440,363,96,267,473,1140,583,19,"https://fbref.com/en/squads/132ebc33/2020-2021/Nice-Stats"
"133",2021,"Nîmes","Ligue 1","team",33,38,625,372,301,244,80,310,709,43.7,399,407,122,285,501,1126,710,17,"https://fbref.com/en/squads/1cbf5f9e/2020-2021/Nimes-Stats"
