"","Season_End_Year","Squad","Comp","Player","Nation","Pos","Age","Born","Mins_Per_90","Touches_Touches","Def Pen_Touches","Def 3rd_Touches","Mid 3rd_Touches","Att 3rd_Touches","Att Pen_Touches","Live_Touches","Att_Take","Succ_Take","Succ_percent_Take","Tkld_Take","Tkld_percent_Take","Carries_Carries","TotDist_Carries","PrgDist_Carries","PrgC_Carries","Final_Third_Carries","CPA_Carries","Mis_Carries","Dis_Carries","Rec_Receiving","PrgR_Receiving","Url"
"77",2021,"Arminia","Bundesliga","Masaya Okugawa","JPN","MF","24",1996,10.2,254,10,50,108,100,17,254,12,8,66.7,4,33.3,103,504,234,9,10,2,22,5,108,39,"https://fbref.com/en/players/63b9cc6d/Masaya-Okugawa"
"78",2021,"Arminia","Bundesliga","Stefan Ortega","GER","GK","27",1992,34,2043,1421,2006,37,0,0,2043,1,1,100,0,0,1390,7187,4759,0,0,0,2,0,1182,0,"https://fbref.com/en/players/c1242d4e/Stefan-Ortega"
"79",2021,"Arminia","Bundesliga","Amos Pieper","GER","DF","22",1998,29.8,1901,269,1156,695,57,20,1901,11,8,72.7,3,27.3,1077,5068,2911,21,4,0,11,2,1153,6,"https://fbref.com/en/players/526ea7cc/Amos-Pieper"
"80",2021,"Arminia","Bundesliga","Manuel Prietl","AUT","MF","28",1991,28,1248,59,446,705,111,16,1248,27,20,74.1,7,25.9,606,2645,1059,14,12,0,34,10,669,18,"https://fbref.com/en/players/901c0f97/Manuel-Prietl"
"81",2021,"Arminia","Bundesliga","Sven Schipplock","GER","FW,MF","31",1988,8.3,292,10,41,136,119,25,292,17,11,64.7,6,35.3,143,897,484,16,14,3,21,5,179,37,"https://fbref.com/en/players/53eeaf6a/Sven-Schipplock"
"82",2021,"Arminia","Bundesliga","Nils Seufert","GER","MF,FW","23",1997,3.8,214,6,38,114,64,5,214,5,4,80,1,20,118,466,169,1,3,0,7,5,135,8,"https://fbref.com/en/players/0da32a38/Nils-Seufert"
"83",2021,"Arminia","Bundesliga","Jóan Símun Edmundsson","FRO","FW,MF","29",1991,0.6,19,0,2,9,8,3,19,0,0,NA,0,NA,15,63,25,2,0,1,1,1,19,6,"https://fbref.com/en/players/1be390b3/Joan-Simun-Edmundsson"
"84",2021,"Arminia","Bundesliga","Cebio Soukou","BEN","FW,MF","27",1992,5.1,180,7,31,91,61,5,180,16,7,43.8,9,56.3,111,700,164,5,3,2,14,15,119,29,"https://fbref.com/en/players/3c4b7820/Cebio-Soukou"
"85",2021,"Arminia","Bundesliga","Michel Vlap","NED","MF,FW","23",1997,4.1,157,2,21,80,58,8,157,1,1,100,0,0,82,436,158,3,3,1,13,6,84,20,"https://fbref.com/en/players/02760e49/Michel-Vlap"
"86",2021,"Arminia","Bundesliga","Andreas Voglsammer","GER","FW,MF","28",1992,11.1,394,12,55,150,193,62,394,8,3,37.5,5,62.5,208,1063,439,20,7,6,31,18,272,71,"https://fbref.com/en/players/daa78200/Andreas-Voglsammer"
"87",2021,"Arminia","Bundesliga","Reinhold Yabo","GER","MF,FW","28",1992,7.2,209,2,26,113,72,9,209,8,2,25,6,75,130,705,289,10,6,2,6,6,148,31,"https://fbref.com/en/players/7dca49f6/Reinhold-Yabo"
"88",2021,"Arsenal","Premier League","Rúnar Alex Rúnarsson","ISL","GK","25",1995,0.2,13,10,12,1,0,0,13,0,0,NA,0,NA,5,26,12,0,0,0,0,0,6,0,"https://fbref.com/en/players/8fa8f8d2/Runar-Alex-Runarsson"
"89",2021,"Arsenal","Premier League","Pierre-Emerick Aubameyang","GAB","FW","31",1989,25.9,887,19,113,345,437,119,885,25,12,48,13,52,525,3124,1692,65,29,28,39,19,703,195,"https://fbref.com/en/players/d5dd5f1f/Pierre-Emerick-Aubameyang"
"90",2021,"Arsenal","Premier League","Héctor Bellerín","ESP","DF,MF","25",1995,23.2,1527,55,394,658,482,47,1527,25,12,48,13,52,810,3777,2176,46,32,9,24,5,961,142,"https://fbref.com/en/players/f874dd44/Hector-Bellerin"
"91",2021,"Arsenal","Premier League","Dani Ceballos","ESP","MF","23",1996,17.9,1482,61,320,845,331,23,1482,38,26,68.4,12,31.6,964,6293,3308,54,49,3,23,15,1090,52,"https://fbref.com/en/players/c0617e2b/Dani-Ceballos"
